file,naive_time_us,optimized_time_us,cache_refs,cache_misses,miss_rate_percent
perf_10.txt,,,46016,21567,46.87
perf_100.txt,,,94548,21622,22.87
perf_1000.txt,,,707970,416173,58.78
perf_20.txt,,,35087,12117,34.53
perf_200.txt,,,81260,45633,56.16
perf_2000.txt,,,3788543,1739790,45.92
perf_30.txt,,,40317,12102,30.02
perf_300.txt,,,,,47.81
perf_3000.txt,,,,,61.55
perf_40.txt,,,43606,21795,49.98
perf_400.txt,,,714756,114991,16.09
perf_4000.txt,,,10781378,5410866,50.19
perf_50.txt,,,57372,20274,35.34
perf_500.txt,,,401188,182896,45.59
perf_5000.txt,,,46378713,22575635,48.68
perf_60.txt,,,43563,17689,40.61
perf_600.txt,,,406943,177663,43.66
perf_6000.txt,,,54962770,23696411,43.11
perf_70.txt,,,,,39.5
perf_700.txt,,,1278013,572770,44.82
perf_7000.txt,,,,,27.98
perf_80.txt,,,64227,20984,32.67
perf_800.txt,,,,,12.36
perf_8000.txt,,,40242336,12948785,32.18
perf_90.txt,,,40934,18284,44.67
perf_900.txt,,,716901,390454,54.46
perf_9000.txt,,,796980168,477202847,59.88
